Location ID,Location,Date,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
37059,Davie County,2021-08-31,4.6,77,0.18,4.42
37059,Davie County,2021-09-30,4.48,86,0.76,3.72
37059,Davie County,2021-10-31,1.79,37,-1.48,3.27
37059,Davie County,2021-11-30,0.57,6,-2.24,2.81
37059,Davie County,2021-12-31,1.22,8,-2.37,3.59
37061,Duplin County,2021-01-31,5.68,116,1.94,3.74
37061,Duplin County,2021-02-28,6.97,124,3.36,3.61
37061,Duplin County,2021-03-31,2.86,34,-1.13,3.99
37061,Duplin County,2021-04-30,2.33,38,-0.75,3.08
37061,Duplin County,2021-05-31,1.76,8,-2.45,4.21
37061,Duplin County,2021-06-30,7.39,112,2.35,5.04
37061,Duplin County,2021-07-31,8.36,102,1.33,7.03
37061,Duplin County,2021-08-31,6.59,86,0.73,5.86
37061,Duplin County,2021-09-30,2.09,19,-2.94,5.03
37061,Duplin County,2021-10-31,2.57,66,-0.31,2.88
37061,Duplin County,2021-11-30,0.85,9,-1.88,2.73
37061,Duplin County,2021-12-31,2.66,48,-0.64,3.3
37063,Durham County,2021-01-31,4.52,101,0.93,3.59
37063,Durham County,2021-02-28,6.49,123,3.02,3.47
37063,Durham County,2021-03-31,2.88,36,-1.07,3.95
37063,Durham County,2021-04-30,1.43,10,-1.95,3.38
37063,Durham County,2021-05-31,2.15,19,-1.57,3.72
37063,Durham County,2021-06-30,5.93,111,1.87,4.06
37063,Durham County,2021-07-31,5.89,94,1.01,4.88
37063,Durham County,2021-08-31,3.88,59,-0.77,4.65
37063,Durham County,2021-09-30,3.18,59,-0.55,3.73
37063,Durham County,2021-10-31,4.7,108,1.75,2.95
37063,Durham County,2021-11-30,0.62,8,-2.22,2.84
37063,Durham County,2021-12-31,1.79,17,-1.48,3.27
37065,Edgecombe County,2021-01-31,6.06,121,2.35,3.71
37065,Edgecombe County,2021-02-28,6.97,124,3.3,3.67
37065,Edgecombe County,2021-03-31,3.01,36,-0.93,3.94
37065,Edgecombe County,2021-04-30,1.82,19,-1.54,3.36
37065,Edgecombe County,2021-05-31,1.73,14,-2.04,3.77
37065,Edgecombe County,2021-06-30,9.29,123,4.7,4.59
37065,Edgecombe County,2021-07-31,5.62,71,-0.02,5.64
37065,Edgecombe County,2021-08-31,5.99,90,0.67,5.32
37065,Edgecombe County,2021-09-30,2.46,36,-1.78,4.24
37065,Edgecombe County,2021-10-31,2.41,55,-0.53,2.94
37065,Edgecombe County,2021-11-30,0.8,10,-1.99,2.79
37065,Edgecombe County,2021-12-31,2.35,30,-0.99,3.34
37067,Forsyth County,2021-01-31,3.13,62,-0.4,3.53
37067,Forsyth County,2021-02-28,5.93,120,2.45,3.48
37067,Forsyth County,2021-03-31,5.08,101,0.97,4.11
37067,Forsyth County,2021-04-30,1.57,13,-1.96,3.53
37067,Forsyth County,2021-05-31,2.81,31,-1.19,4
37067,Forsyth County,2021-06-30,3.08,43,-0.93,4.01
37067,Forsyth County,2021-07-31,5.84,102,1.29,4.55
37067,Forsyth County,2021-08-31,3.63,60,-0.75,4.38
37067,Forsyth County,2021-09-30,4.66,93,1.06,3.6
37067,Forsyth County,2021-10-31,2.19,47,-1.02,3.21
37067,Forsyth County,2021-11-30,0.45,4,-2.3,2.75
37067,Forsyth County,2021-12-31,1.39,13,-2.1,3.49
37069,Franklin County,2021-01-31,4.78,107,1.13,3.65
37069,Franklin County,2021-02-28,6.5,123,2.9,3.6
37069,Franklin County,2021-03-31,2.64,25,-1.39,4.03
37069,Franklin County,2021-04-30,1.47,11,-1.91,3.38
37069,Franklin County,2021-05-31,1.93,18,-1.87,3.8
37069,Franklin County,2021-06-30,5.48,99,1.26,4.22
37069,Franklin County,2021-07-31,7.61,113,2.31,5.3
37069,Franklin County,2021-08-31,4,56,-0.85,4.85
37069,Franklin County,2021-09-30,2.93,55,-0.97,3.9
37069,Franklin County,2021-10-31,3.22,77,0.25,2.97
37069,Franklin County,2021-11-30,0.73,9,-2.17,2.9
37069,Franklin County,2021-12-31,2.25,32,-1.06,3.31
37071,Gaston County,2021-01-31,3.99,73,0.03,3.96
37071,Gaston County,2021-02-28,5.77,106,1.69,4.08
37071,Gaston County,2021-03-31,5.56,92,0.92,4.64
37071,Gaston County,2021-04-30,1.87,19,-1.67,3.54
37071,Gaston County,2021-05-31,2.29,31,-1.46,3.75
37071,Gaston County,2021-06-30,3.16,41,-0.89,4.05
37071,Gaston County,2021-07-31,5.55,92,0.8,4.75
37071,Gaston County,2021-08-31,3.71,57,-0.94,4.65
37071,Gaston County,2021-09-30,1.94,36,-1.8,3.74
37071,Gaston County,2021-10-31,1.4,27,-2.03,3.43
37071,Gaston County,2021-11-30,0.88,11,-2.09,2.97
37071,Gaston County,2021-12-31,1.94,14,-1.97,3.91
37073,Gates County,2021-01-31,4.57,100,0.86,3.71
37073,Gates County,2021-02-28,7.41,126,3.77,3.64
37073,Gates County,2021-03-31,2.33,15,-1.6,3.93
37073,Gates County,2021-04-30,3.27,63,-0.11,3.38
37073,Gates County,2021-05-31,2.13,18,-1.72,3.85
37073,Gates County,2021-06-30,8.45,123,3.9,4.55
37073,Gates County,2021-07-31,7.09,92,1.01,6.08
37073,Gates County,2021-08-31,9,113,3.51,5.49
37073,Gates County,2021-09-30,2.3,31,-1.99,4.29
37073,Gates County,2021-10-31,1.98,33,-1.14,3.12
37073,Gates County,2021-11-30,1.22,17,-1.68,2.9
37073,Gates County,2021-12-31,1.97,17,-1.44,3.41
37075,Graham County,2021-01-31,4.46,40,-1.98,6.44
37075,Graham County,2021-02-28,7.19,90,1.14,6.05
37075,Graham County,2021-03-31,10.46,118,3.87,6.59
37075,Graham County,2021-04-30,2.72,14,-2.48,5.2
37075,Graham County,2021-05-31,4.92,77,0.16,4.76
37075,Graham County,2021-06-30,5.91,82,0.32,5.59
37075,Graham County,2021-07-31,4.88,45,-0.81,5.69
